#Label	#Number	She	Rhyme	1 kai	2 kai	3 kai	4 kai	1 he	2 he	3 he	4 he	Tone
至	118	5	17	-	-	ih	jih	-	wih	wih	jwih	3
志	119	5	18	-	ɨh	ɨh	ɨh	-	-	-	-	3
未	120	5	19	-	-	ɨjh	-	-	-	ujh	-	3
御	121	3	5	-	ɨăh	ɨăh	ɨăh	-	-	-	-	3
遇	122	3	6	-	-	-	-	-	uăh	uăh	uăh	3
暮	123	3	4	-	-	-	-	ɔh	-	-	-	3
霽	124	4	15	-	ɛrjh	iajh	ɛjh	-	-	-	wɛjh	3
# Rhyme 14 is qusheng only.
祭	125	4	14	-	*iajh	iajh	jiajh	-	-	wiajh	jwiajh	3
# Rhyme 9 is qusheng only.
泰	126	4	9	ajh	-	-	-	wajh	-	-	-	3
卦	127	4	11	-	arjh	-	-	-	warjh	-	-	3
怪	128	4	10	-	ɛrjh	-	-	-	wɛrjh	-	-	3
# Rhyme 12 is qusheng only.
夬	129	4	12	-	arjh	-	-	-	warjh	-	-	3
隊	130	4	8	-	-	-	-	wǝjh	wǝjh	*wǝjh	-	3
代	131	4	7	ǝjh	-	-	-	-	-	-	-	3
# Rhyme 13 is qusheng only.
廢	132	4	13	-	-	ɨajh	-	-	-	uajh	-	3
震	133	14	70	-	*inh	inh	jinh	-	-	-	-	3
稕	134	14	71	-	-	-	-	-	-	winh	jwinh	3
問	135	14	68	-	-	-	-	-	-	unh	-	3
焮	136	14	67	-	-	ɨnh	-	-	-	-	-	3
願	137	13	55	-	-	ɨanh	-	-	-	uanh	-	3
慁	138	14	66	-	-	-	-	wǝnh	-	-	-	3
恨	139	14	65	ǝnh	-	-	-	-	-	-	-	3
翰	140	13	51	anh	-	-	-	-	-	-	-	3
換	141	13	52	-	-	-	-	wanh	-	-	-	3
諫	142	13	53	-	arnh	-	-	-	warnh	-	-	3
襉	143	13	54	-	ɛrnh	-	-	-	wɛrnh	-	-	3
霰	144	13	57	-	-	-	ɛnh	-	-	*wɛnh	wɛnh	3
線	145	13	56	-	*ianh	ianh	jianh	-	wianh	wianh	jwianh	3
嘯	146	6	23	-	-	-	ɛwh	-	-	-	-	3
𥬇	147	6	22	-	-	iawh	jiawh	-	-	-	-	3
效	148	6	21	-	arwh	-	-	-	-	-	-	3
号	149	6	20	awh	-	-	-	-	-	-	-	3
箇	150	1	1	aăh	-	-	-	-	-	-	-	3
過	151	1	2	*aăh	-	-	-	waăh	-	-	-	3
禡	152	2	3	-	arh	iaăh	iaăh	-	warh	-	-	3
漾	153	8	28	-	ɨaăŋh	ɨaăŋh	ɨaăŋh	-	-	uaăŋh	-	3
宕	154	8	27	aăŋh	-	-	-	waăŋh	-	-	-	3
